Supplier Name,Stage Invoked,Mandatory Restrictions,Reporting Month,Total Monthly Potable Water Production 2014,Total Monthly Potable Water Production 2013,Units,Qualification,Total Population Served,Optional - Enforcement Actions,Optional - Implementation,Optional - Recycled Water,Recycled Water Units, CALCULATED Monthly Gallons Month 2014 ,CALCULATED Monthly Gallons Month 2013,% Residential Use,Comments/Corrections
Yorba Linda Water District,Stage 1,Yes,Aug-14,2227.9,2355.9,AF,,73990,"On the first violation, YLWD will hand deliver a door hanger to the location of the violation and mail a notice to the current billing address. A second violation within 12 calendar months is punishable by a penalty of $100. A third violation within 12 calendar months of the first or second violations is punishable by a penalty of $250. A fourth and any subsequent violations within 12 calendar months of the first violation are punishable by a fine of $500. In addition, the District may opt to install a water flow restrictor device. ","Watering is prohibited between the hours of 9am and 6pm. Watering is limited to 15 minutes per station per day. Water is prohibited when it is raining, or there is a forecasted chance of rain of 50 percent or higher. No runoff. No washing down of hard or paved surfaces. Re-circulation of water is required for water fountains. Washing of vehicles is limited to use of a hand-held house with an automatic shut-off nozzle. Stage 1 restrictions include irrigation limited to three times per week, with no irrigation on Sunday. Education and communication regarding these restrictions have been communicated to our customers in the following ways:  â€¢","Direct Mailing of an informational tri-fold and Drought Explanation Letter to every customer (approx. 25,000)  â€¢",Direct Mailing of a customer-specific usage letter to all Home Owners Associations (large irrigation users)   â€¢," 725,964,394 "," 767,673,377 ",67%,No Correction Needed
Long Beach  City of,Imminent Shortage,Yes,Aug-14,5263.7,5648.4,AF,,462257,,,,," 1,715,184,156 "," 1,840,539,200 ",69%,No Correction Needed
"Los Banos, City of",3,Yes,Aug-14,291669000,324811000,G,,36757,,,,," 291,669,000 "," 324,811,000 ",100%,No Correction Needed
Turlock  City of,1,Yes,Aug-14,704959441,808805100,G,"The above percentage is based on billed residential accounts.  The remaining 60.3 percent of potable application is utilized for landscaping and CII (Commercial, Industrial, Institutional) accounts.",71181,The City of Turlock responded to a total of 46 residential water wasting incidences.,,,," 704,959,441 "," 808,805,100 ",60%,No Correction Needed
Jurupa Community Service District,Level 2,Yes,Aug-14,2729.602,3006.107,AF,,101700,,,,," 889,444,707 "," 979,544,256 ",84%,No Correction Needed
Coastside County Water District,Stage 2 - Water Shortage Emergency Warning,Yes,Aug-14,74.89,84.56,MG,Residential monthly percentage should not be used because residential customers are billed bi-monthly and production data is monthly.,16652,,,,," 74,890,000 "," 84,560,000 ",60%,No Correction Needed
Citrus Heights Water District,Stage 3 Water Warningate,Yes,Aug-14,1477,1924,AF,based on connection classification and historical use,67333,,,,," 481,282,558 "," 626,938,146 ",84%,No Correction Needed
Burlingame  City of,2,Yes,Aug-14,192221,203779,CCF,,30282,,,,," 143,791,293 "," 152,437,278 ",64%,No Correction Needed
Orange Vale Water Company,3,Yes,Aug-14,523.05,737.1,AF,,15200,We have been monitoring our district to make sure our customers have no run off and are using water wisely. ,,,," 170,436,589 "," 240,185,087 ",95%,No Correction Needed
Dublin San Ramon Services District,3,Yes,Aug-14,259.519,404.05,MG,,78262,,,156.001,MG," 259,519,000 "," 404,050,000 ",80%,No Correction Needed
Los Angeles Department of Water and Power,Phase 2,Yes,Aug-14,50504,55384,AF,"Temperature - August 2014 was 3 degrees hotter than August 2013, and 1.4 degrees hotter than July 2014.",3935257,"Our Water Conservation Response Unit (WCRU), a.k.a. â€œWater Copsâ€ù, actively patrol Los Angeles communities and enforce the Cityâ€™s Emergency Water Conservation Ordinance. The WCRU investigates reports of wasteful water use and educates violators on the importance of complying with the Water Conservation Ordinance. Repeat violators are issued monetary fines ranging from $100-$600.","Water conservation in Los Angeles has doubled in August compared to July. Water use comparing July 2013 to July 2014 reduced by 4.4%, while water use comparing August 2013 to August 2014 reduced by 8.8%.    LAâ€™s residential GPCD for August 2014 was 89 gallons per person per day. This is noteworthy considering the size of Los Angeles and its 5 microclimates, and the varied socioeconomic sectors in the city.    LADWPâ€™s turf removal program has replaced over 8.8 million square feet of turf with California-friendly, drought tolerant gardens. This amounts to 863 acre-feet per year of water saved.   ",1100,AF," 16,456,800,469 "," 18,046,955,433 ",66%,No Correction Needed
El Dorado Irrigation District,2,Yes,Aug-14,4110,5480,AF,Monthly production includes estimated agricultural use of 47.4%. The estimated percentages for residential and agricultural use vary from month to month due to the Districtâ€™s bi-monthly meter reading cycles. Monthly production includes wholesale deliveries to the City of Placerville because they are not an urban water supplier. Report does not include 416 acre-feet of recycled water produced for uses that would otherwise require potable water.,128500,,,,," 1,339,249,365 "," 1,785,665,820 ",23%,No Correction Needed
El Centro  City of,None,Yes,Aug-14,246575000,275070000,G,"We have adopted the state guidelines from the latest regulation. Residential use does not include commercial, landscaping, or industry.",44311,,,,," 246,575,000 "," 275,070,000 ",60%,No Correction Needed
Milpitas  City of,2,Yes,Aug-14,437689,502386,CCF,,70817,,,,," 327,414,109 "," 375,810,826 ",45%,No Correction Needed
Santa Rosa  City of,Stage 1 - Mandatory,Yes,Aug-14,580628381,701906695,G,,170093,"The City has implemented Stage 1 - Mandatory.   The City has implemented weekly water watch patrols and also provides options for the community to report water waste and Stage 1 Mandatory violations through our website, hotline and MySantaRosa app.  Water Use Efficiency staff and City field crews have been trained and can door tag any home or business for a violation.  The City has a progressive enforcement program that starts with information and education and can ultimately lead to turning off the customerâ€™s water.","The City has implemented Stage 1 - Mandatory, which requires the following:  -20% community-wide reduction in water use;  -Compliance with the Cityâ€™s water waste ordinance which prohibits runoff from irrigated areas and prohibits property side breaks and leaks;  -Irrigation can only occur between the hours of 8 PM through 6 AM;    -Prohibits washing down hardscapes unless required for public health and safety;  -Prohibits using potable water for street washing;   -Requires shut-off hose nozzles for all garden and utility hoses; and  - Requires â€œWater-on-requestâ€ù at all restaurants.  The City is providing information to the community through bill inserts, bill face messages, social media, dedicated website, radio and newspaper ads.  The City offers numerous rebates and incentive programs, including free home and commercial audits. The City continues to participate in the regional media campaign - ""There's a Drought On. Turn the Water Off.""  The media campaign includes newspaper and radio ads, before the movie ads, dedicated website, and local cable channel video. In addition, a DIY Outdoor Drought Solutions event was held August 23rd from 10AM - 4PM to educate the community about outdoor efficiency, rebates and incentive programs.  ",,," 580,628,381 "," 701,906,695 ",67%,No Correction Needed
Westminster  City of,Level One Water Supply Shortage,Yes,Aug-14,1149.3,1219.4,AF,N/A,93322,,,,," 374,501,045 "," 397,343,230 ",80%,No Correction Needed
Mid-Peninsula Water District,None,No,Aug-14,128924,155788,CCF,,26030,,,,," 96,441,849 "," 116,537,517 ",85%,No Correction Needed
Daly City  City of,II,Yes,Aug-14,120219,153312,CCF,,103347,,,,," 89,930,057 "," 114,685,340 ",96%,No Correction Needed
Delano  City of,Stage 2,Yes,Aug-14,330.28,367.63,MG,Used current urban water management plan.,48957,,,,," 330,280,000 "," 367,630,000 ",52%,No Correction Needed
Anaheim  City of,N/A,Yes,Aug-14,6534,6625,AF,"The monthly production includes groundwater, imported water, and water from storage.",356762,,,,," 2,129,113,224 "," 2,158,765,704 ",60%,No Correction Needed
Coachella Valley Water District,2,Yes,Aug-14,12554.6,13094.4,AF,,202660,,,,," 4,090,934,325 "," 4,266,828,926 ",79%,No Correction Needed
Lake Hemet Municipal Water District,3,Yes,Aug-14,1102,1377,AF,,52914,,,,," 359,088,273 "," 448,697,415 ",74%,No Correction Needed
Carmichael Water District,2,Yes,Aug-14,338.74,434.57,MG,Carmichael Water District collects meter data on a bimonthly basis.  Half of the meters are read each month therefor data is not available until the end of the following month.  The above percentage is based on previous year data.,37899,,,,," 338,740,000 "," 434,570,000 ",82%,No Correction Needed
Pleasanton  City of,Stage 3,Yes,Aug-14,480.29,721.159,MG,Commercial: 8.9%  Irrigation: 22.7 %  Multi-Family Residential: 7.3%  Single Family Residential: 61.2%    City of Pleasanton bills bi-monthly in arrears so this data reflects consumption percentage by revenue class billed in August.  ,71871,,,4.44,MG," 480,290,000 "," 721,159,000 ",69%,No Correction Needed
Santa Monica  City of,2,Yes,Aug-14,421.3,436.9,MG,,92185,,,4.1,MG," 421,300,000 "," 436,900,000 ",78%,No Correction Needed
California Water Service Company Antelope Valley,2,No,Aug-14,101,92,AF,,3424,,,,," 32,910,994 "," 29,978,331 ",92%,No Correction Needed
Watsonville  City of,Statewide Emergency Conservation,Yes,Aug-14,243743196,274378724,G,"18.0% of this month's water was delivered to one agricultural customer. The other 82.0% was delivered to a combination of Residential, Commercial/Institutional, Industrial, and Other accounts.",65739,,,,," 243,743,196 "," 274,378,724 ",100%,No Correction Needed
San Jose  City of,1,Yes,Aug-14,690,791,MG,"Local economy has improved over the last 1-2 years, and several new multi-family residential developments were constructed and occupied during this time.    Percentage Residential Use varies monthly because Muni Water bills bimonthly. So the Percentage Residential Use is calculated based on the consumption of the reporting month and the previous month.    Recycled water information (reported in #11) is customer usage data, which is also billed bimonthly.",114974,"Muni Water continued to implement its enforcement process, which starts with notification and education and escalates to potential fines as listed in the City of San Jose Municipal Code. Muni Water also coordinated with the other retailers in San JosÃ© and with Muni Water's wholesale providers to ensure that water waste response is adequate and not duplicated in areas of San JosÃ© outside the Muni Water service area.","On Aug. 26, 2014 the San Jose City Council declared a water shortage of 20%. This triggered Stage 1 of Muni Waterâ€™s Water Shortage Contingency Plan, which includes mandatory restrictions on daytime watering. In addition, Muni Water is actively performing outreach to inform its customers of other water use restrictions, which are in effect at all times to prevent water waste. Muni Water is notifying its customers of these restrictions via direct mail to all customers, a website page explaining the restrictions, and social media outlets. Other outreach actions are also planned.",236,MG," 690,000,000 "," 791,000,000 ",47%,No Correction Needed
